instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿jos_m_young_001,﻿Rt. Rev.,﻿J. M. Young,﻿D.D.,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿hug_p_kenny_001,﻿Rev.,﻿Hugh P. Kenny,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,﻿fra_j_hartman_001,﻿Very Rev.,﻿J. F. Hartmann,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0016,﻿church,﻿St. Nicholas',English,,,,﻿Clarion County,,﻿Arondell,﻿Limestone,﻿PA,,41.123876,-79.312754,,,,﻿t_ledwith_001,﻿Rev.,﻿T. Ledwith,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0016,﻿church,﻿St. Nicholas',English,,,,﻿Clarion County,,﻿Arondell,﻿Limestone,﻿PA,,41.123876,-79.312754,,,,﻿and_skopez_001,﻿Rev.,﻿A. Skopez,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0009,﻿church,﻿Imm. Concep.,English,,,,﻿Jefferson County,,﻿Brookville,﻿Brookville,﻿PA,,41.161175,-79.083092,﻿erie.pa.0032,﻿Attended from St. Mary's,,,,,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0006,﻿church,﻿St. Anne's,English,,,,﻿Elk County,,﻿Centreville,,﻿PA,,41.428492,-78.566085,,,,,,,,,,,,﻿Benedictines,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0013,﻿church,﻿Imm. Conception,English,,,,﻿Clarion County,,﻿Clarion,,﻿PA,,41.213385,-79.381244,,,,﻿and_skopez_001,﻿Rev.,﻿A. Skopez,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0013,﻿church,﻿Imm. Conception,English,,,,﻿Clarion County,,﻿Clarion,,﻿PA,,41.213385,-79.381244,,,,﻿t_ledwith_001,﻿Rev.,﻿T. Ledwith,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0015,﻿church,﻿St. Francis,English,,,,﻿Clearfield County,,﻿Clearfield,﻿Clearfield,﻿PA,,41.019033,-78.439106,,,,﻿joh_d_coady_001,﻿Rev.,﻿John D. Coady,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0019,﻿church,﻿St. Mary's,English,,,,﻿Crawford County,,﻿Conneautville,,﻿PA,,41.757833,-80.367842,,,,﻿a_mcconnell_001,﻿Rev.,﻿A. McConnell,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0021,﻿church,﻿St. Ann's,English,,,,﻿Jefferson County,,﻿Corsica,﻿Corsica,﻿PA,,41.181175,-79.202262,,,,﻿t_ledwith_001,﻿Rev.,﻿Thos. Ledwith,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0138,﻿station,[Unnamed Institution],English,,,,﻿Potter County,,﻿Condersport,,﻿PA,,41.773889,-78.018611,,,,﻿joh_l_madigan_001,﻿Rev.,﻿John L. Madegan,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0022,﻿station,[Unnamed Institution],English,,,,﻿Venango County,,﻿Cranberry,﻿Cranberry Township,﻿PA,,41.389661,-79.829674,,,,,,,,,,,,,,1858,﻿,﻿,﻿Erie,Erie
