instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bal.md.0001,﻿cathedral,﻿Baltimore Cathedral,English,,﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.294065,-76.616807,,,,﻿hen_b_coskery_001,﻿Very Rev.,﻿Henry B. Coskery,,"﻿Vic. Gen., Rector",,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Baltimore Cathedral,English,,﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.294065,-76.616807,,,,﻿tho_foley_001,﻿Rev.,﻿Thos. Foley,,﻿Secretary to the Archbishop,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Baltimore Cathedral,English,,﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.294065,-76.616807,,,,﻿fra_p_kenrick_001,﻿Most Rev.,﻿Francis Patrick Kenrick,﻿D.D.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's,English,﻿F. Point,﻿corner of Broadway and Bank streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.284964,-76.56734,,,,﻿jam_dolan_001,﻿Rev.,﻿James Dolan,﻿P.P.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0003,﻿church,﻿St. Vincent de Paul's,English,,﻿Front near Fayette street,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.291418,-76.60611,,,,﻿hen_myers_001,﻿Rev.,﻿Henry Myers,﻿P.P.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0003,﻿church,﻿St. Vincent de Paul's,English,,﻿Front near Fayette street,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.291418,-76.60611,,,,﻿p_f_mccarthy_001,﻿Rev.,﻿P. F. McCarthy,,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,﻿corner of Poppleton and Hollins streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.288036,-76.631907,,,,﻿edw_mccolgan_001,﻿Rev.,﻿Edward McColgan,﻿P.P.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,﻿corner of Poppleton and Hollins streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.288036,-76.631907,,,,﻿joh_f_hickey_001,﻿Rev.,﻿J. F. Hickey,,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,English,,﻿Eager and Valley streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.301051,-76.604589,,,,﻿ber_j_mcmanus_001,﻿Rev.,﻿Bernard J. McManus,﻿P.P.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0006,﻿church,﻿St. Ignatius',English,,﻿corner of Calvert and Madison streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.298431,-76.613058,,,,﻿jos_ocallaghan_001,﻿Rev.,﻿Joseph O'Callaghan,﻿S.J.,,﻿and other Priests of Loyola College,,,﻿and other priests of Loyola College,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0007,﻿church,﻿St. Joseph's,English,,﻿corner of Barre and Howard streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.283171,-76.617769,,,,﻿mic_slattery_001,﻿Rev.,﻿Michael Slattery,﻿P.P.,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0007,﻿church,﻿St. Joseph's,English,,﻿corner of Barre and Howard streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.283171,-76.617769,,,,﻿wm_mahony_001,﻿Rev.,﻿William Mahony,,,,,,,,1861,﻿,﻿,﻿Baltimore,Baltimore
