instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿joh_b_purcell_001,﻿Most Rev.,﻿J. B. Purcell,﻿D.D.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿e_t_collins_001,﻿Very Rev.,﻿E. T. Collins,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿e_parcell_001,﻿Very Rev.,﻿E. Purcell,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿David Whelan,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿s_h_rosecrans_002,﻿Rev.,﻿S. H. Rosecrans,﻿D.D.,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,"﻿There is a chapel in the basement of the Cathedral, which is regularly attended by a congregation of from 1,200 to 1,500, including the male youth of the Cathedral congregation.",,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1854,﻿,﻿,﻿Cincinnati,Cincinnati
