instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.0001,﻿cathedral,[Unnamed Institution],English,﻿Land bought for new cathedral,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Hilary Tucker,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,[Unnamed Institution],English,﻿Land bought for new cathedral,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Michael Moran,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,[Unnamed Institution],English,﻿Land bought for new cathedral,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,﻿cha_lynch_001,﻿Rev.,﻿C. Lynch,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,[Unnamed Institution],English,﻿Land bought for new cathedral,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Lawrence S. McMahon,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,[Unnamed Institution],English,﻿Land bought for new cathedral,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿J. A. Healey,,﻿Chancellor and Sec.,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿chapel,[Unnamed Institution],English,﻿Temporary Chapel. for children,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Charles Lynch,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿chapel,﻿Chapel of the Guardian Angels,English,﻿Temporary Chapel. for children,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,﻿hil_tucker_001,﻿Rev.,﻿H. Tucker,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0006,﻿church,﻿Church of St. Vincent de Paul,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.367662,-71.091123,,,,,﻿Rev.,﻿Michael Moran,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0006,﻿church,﻿Church of St. Vincent de Paul,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.367662,-71.091123,,,,﻿law_s_mcmahon_001,﻿Rev.,﻿L. S. McMahon,,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0004,﻿church,﻿St. James' Church,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.32683,-71.086812,,,,,﻿Very Rev.,﻿John J. Williams,﻿V.G.,,,,,,,1861,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
