instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at 6 1/2, 8 and 10 A.M. in summer, and at 10 1/2 A.M. in the winter; Sermons at 8 and 10 A.M. Masses; Vespers 3 1/2 P.M. in Summer, and 3 P.M. in winter",,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251906,-85.758804,,,,﻿mar_j_spalding_002,﻿Rt. Rev.,﻿Martin J. Spalding,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at 6 1/2, 8 and 10 A.M. in summer, and at 10 1/2 A.M. in the winter; Sermons at 8 and 10 A.M. Masses; Vespers 3 1/2 P.M. in Summer, and 3 P.M. in winter",,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251906,-85.758804,,,,﻿b_j_spalding_001,﻿Very Rev.,﻿B. J. Spalding,﻿D.D.,﻿Vic. Gen.,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at 6 1/2, 8 and 10 A.M. in summer, and at 10 1/2 A.M. in the winter; Sermons at 8 and 10 A.M. Masses; Vespers 3 1/2 P.M. in Summer, and 3 P.M. in winter",,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251906,-85.758804,,,,﻿j_h_bekkers_002,﻿Rev.,﻿J. H. Bekkers,,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at 6 1/2, 8 and 10 A.M. in summer, and at 10 1/2 A.M. in the winter; Sermons at 8 and 10 A.M. Masses; Vespers 3 1/2 P.M. in Summer, and 3 P.M. in winter",,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251906,-85.758804,,,,﻿h_brady_001,﻿Rev.,﻿H. Brady,,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0002,﻿church,﻿St. Boniface,﻿German,"﻿residence adjoining; High Mass at 10 A.M. in summer, and 10 1/2 A.M. in winter; Vespers at 2 and 2 1/2 P.M.",﻿Green street,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251174,-85.743961,,,,﻿edm_etschmann_001,﻿Rev.,﻿Edmund Etschmann,﻿O.S.F.,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0002,﻿church,﻿St. Boniface,﻿German,"﻿residence adjoining; High Mass at 10 A.M. in summer, and 10 1/2 A.M. in winter; Vespers at 2 and 2 1/2 P.M.",﻿Green street,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.251174,-85.743961,,,,﻿dio_abarth_001,﻿Rev.,﻿Diodysius Abarth,﻿O.S.F.,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0003,﻿church,﻿Immaculate Conception,﻿German,﻿residence adjoining. High Mass at 10 and 10 1/2 A.M.; Vespers 2 1/2 and 3 P.M.,﻿corner of 8th and Grayson streets,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.25315,-85.763902,,,,﻿f_x_van-deutekom_001,﻿Rev.,﻿F. X. Van Deutikom,,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0004,﻿church,﻿St. Martin's,﻿German,﻿residence adjoining. High Mass at 10 and 10 1/2 A.M.; Vespers at 3 and 3 1/2 P.M.,﻿Shelby street,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.245535,-85.739249,,,,﻿lea_streber_001,﻿Rev.,﻿Leander Streber,﻿O.S.F.,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0005,﻿church,﻿St. Patrick's Chapel,English,﻿residence adjoining. High Mass at 9 and 9 1/2 A.M.; Vespers at 3 P.M.,﻿13th street,,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.257197,-85.772036,,,,﻿tho_joyce_002,﻿Rev.,﻿Thomas Joyce,,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0006,﻿church,﻿St. Peter's Church,﻿German,﻿High Mass at 9 and 9 1/2 A.M.; Vespers at 3 P.M.,"﻿16th street, beyond Kentucky",,﻿Jefferson County,,﻿Louisville,,﻿KY,,38.243125,-85.78206,,,,﻿mau_giperick_001,﻿Rev.,﻿Maurice Giperick,,,,,,,,1860,﻿,﻿,﻿Louisville,Louisville
