instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿jos_s_alemany_001,﻿Most Rev.,﻿Joseph S. Alemany,﻿D.D.,,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿jam_crooke_001,﻿Very Rev.,﻿James Croke,﻿V.G.,﻿Rector,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿joh_h_harrington_001,﻿Rev.,﻿John H. Harrington,,﻿Assistant Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿jam_s_cotter_001,﻿Rev.,﻿James S. Cotter,,﻿Assistant Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0002,﻿church,"﻿Mission of Dolores, St. Francis",English,,,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.764324,-122.427032,,,,﻿ric_carroll_001,﻿Rev.,﻿Richard Carroll,,﻿Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0002,﻿church,"﻿Mission of Dolores, St. Francis",English,,,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.764324,-122.427032,,,,﻿joh_j_prendergast_001,﻿Rev.,﻿John J. Prendergast,,﻿Assistant Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assisium,﻿Spanish,﻿Sermon in Spanish at 8 1/2 o'clock,﻿Vallejo sreet,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.798964,-122.407721,,,,﻿pet_magagnotto_002,﻿Very Rev.,﻿Peter Magagnotto,﻿V.G.,﻿Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assisium,﻿Spanish,﻿Sermon in Spanish at 8 1/2 o'clock,﻿Vallejo sreet,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.798964,-122.407721,,,,﻿tho_cian_001,﻿Rev.,﻿Thomas Cian,,﻿Assistant Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0004,﻿church,﻿St. Patrick's,English,,﻿Market st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.785588,-122.403508,,,,﻿joh_maginnis_001,﻿Rev.,﻿John Maginnis,,﻿Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0004,﻿church,﻿St. Patrick's,English,,﻿Market st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.785588,-122.403508,,,,﻿mic_kling_001,﻿Rev.,﻿Michael King,,﻿Assistant Pastor,,,,,,1861,﻿,﻿,﻿San Francisco,SanFrancisco
