instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0001,﻿cathedral,﻿St. Paul's Cathedral,English,"﻿Sunday service at 9 a.m., for the French congregation; at 7 and 10 1/2 a.m. and 3 1/2 p.m., for the English congregation",﻿corner of St. Peter's and Sixth streets--residence of the clergy on the corner of Sixth street and Wabashaw streets,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.945918,-93.096646,,,,,﻿Very Rev.,﻿Augustine Ravoux,﻿V.G.,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿St. Paul's Cathedral,English,"﻿Sunday service at 9 a.m., for the French congregation; at 7 and 10 1/2 a.m. and 3 1/2 p.m., for the English congregation",﻿corner of St. Peter's and Sixth streets--residence of the clergy on the corner of Sixth street and Wabashaw streets,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.945918,-93.096646,,,,,﻿Rev.,﻿A. Oster,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿St. Paul's Cathedral,English,"﻿Sunday service at 9 a.m., for the French congregation; at 7 and 10 1/2 a.m. and 3 1/2 p.m., for the English congregation",﻿corner of St. Peter's and Sixth streets--residence of the clergy on the corner of Sixth street and Wabashaw streets,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.945918,-93.096646,,,,,﻿Rev.,﻿L. E. Cailles,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿St. Paul's Cathedral,English,"﻿Sunday service at 9 a.m., for the French congregation; at 7 and 10 1/2 a.m. and 3 1/2 p.m., for the English congregation",﻿corner of St. Peter's and Sixth streets--residence of the clergy on the corner of Sixth street and Wabashaw streets,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.945918,-93.096646,,,,,﻿Rev.,﻿D. J. Fisher,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,"﻿Sunday Service, 7 and 10 a.m., and 3 p.m","﻿Ninth street, between Vine and St. Peter's streets, residence near the church",,,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.948525,-93.099707,,,,,﻿Rev.,﻿Demetrius Marogna,﻿O.S.B.,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,"﻿Sunday Service, 7 and 10 a.m., and 3 p.m","﻿Ninth street, between Vine and St. Peter's streets, residence near the church",,,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.948525,-93.099707,,,,,﻿Rev.,﻿Eberhard Gahr,﻿O.S.B.,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0008,﻿church,not recorded,English,,,,﻿Anoka County,﻿Anoka County,﻿Anoka,﻿Anoka,﻿MN,,45.199199,-93.38274,,﻿Visited from Palestine,﻿occasionally,,,,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0151,﻿church,﻿St. Martin's,English,,,,﻿Scott County,﻿Scott County,﻿Belle Paine,﻿Belle Plaine,﻿MN,,44.623041,-93.768404,,﻿Visited from Shakopee,,,,,,,,﻿families,﻿120 families,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0335,﻿church,﻿St. Andrew's,English,,,,﻿Benton County,,﻿Belle Prairie,﻿Belle Prairie,﻿MN,,,,,﻿Visited from Crow Wing,﻿monthly,,,,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0335,﻿church,﻿St. Andrew's,English,,,,﻿Benton County,,﻿Big Meadow,﻿Belle Prairie,﻿MN,,,,,﻿Attended from St. Cloud,,,,,,,,,,,,1860,﻿,﻿,﻿St. Paul,StPaul
