instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,"﻿Masses at 6 1/2, 8 1/2, and 10 1/2 A.M. every Sunday and Holy-day at each of which instructions are generally given. Vespers on the same at 4 P.M. in Summer, and 3 1/2 P.M in Winter; after which a Sunday School is taught by a society of ladies and gentlemen of the congregation, at which between 150 and 200 children attend. Missions attended from this place, Darien (McIntosh Co.), Brunswick (Glynn Co.), St.Mary's (Camden CO.), and counties in the South-eastern part of the State, viz: Irwin, Clinch, Wilcox, &c., &c,",,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.047061,-81.119583,,,,,﻿Rt. Rev.,﻿John Barry,﻿D.D.,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,"﻿Masses at 6 1/2, 8 1/2, and 10 1/2 A.M. every Sunday and Holy-day at each of which instructions are generally given. Vespers on the same at 4 P.M. in Summer, and 3 1/2 P.M in Winter; after which a Sunday School is taught by a society of ladies and gentlemen of the congregation, at which between 150 and 200 children attend. Missions attended from this place, Darien (McIntosh Co.), Brunswick (Glynn Co.), St.Mary's (Camden CO.), and counties in the South-eastern part of the State, viz: Irwin, Clinch, Wilcox, &c., &c,",,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.047061,-81.119583,,,,,﻿Very Rev.,﻿P. Whelan,,﻿V.G.,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,"﻿Masses at 6 1/2, 8 1/2, and 10 1/2 A.M. every Sunday and Holy-day at each of which instructions are generally given. Vespers on the same at 4 P.M. in Summer, and 3 1/2 P.M in Winter; after which a Sunday School is taught by a society of ladies and gentlemen of the congregation, at which between 150 and 200 children attend. Missions attended from this place, Darien (McIntosh Co.), Brunswick (Glynn Co.), St.Mary's (Camden CO.), and counties in the South-eastern part of the State, viz: Irwin, Clinch, Wilcox, &c., &c,",,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.047061,-81.119583,,,,,﻿Rev.,﻿T.F. O'Neill,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,"﻿Masses at 6 1/2, 8 1/2, and 10 1/2 A.M. every Sunday and Holy-day at each of which instructions are generally given. Vespers on the same at 4 P.M. in Summer, and 3 1/2 P.M in Winter; after which a Sunday School is taught by a society of ladies and gentlemen of the congregation, at which between 150 and 200 children attend. Missions attended from this place, Darien (McIntosh Co.), Brunswick (Glynn Co.), St.Mary's (Camden CO.), and counties in the South-eastern part of the State, viz: Irwin, Clinch, Wilcox, &c., &c,",,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.047061,-81.119583,,,,,﻿Rev.,﻿C. Prendergast,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,"﻿Masses at 6 1/2, 8 1/2, and 10 1/2 A.M. every Sunday and Holy-day at each of which instructions are generally given. Vespers on the same at 4 P.M. in Summer, and 3 1/2 P.M in Winter; after which a Sunday School is taught by a society of ladies and gentlemen of the congregation, at which between 150 and 200 children attend. Missions attended from this place, Darien (McIntosh Co.), Brunswick (Glynn Co.), St.Mary's (Camden CO.), and counties in the South-eastern part of the State, viz: Irwin, Clinch, Wilcox, &c., &c,",,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.047061,-81.119583,,,,,﻿Rev.,﻿J. F. O'Neill,﻿Jr.,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿new and splendid Church, not yet opened because of debt and want of means to give a complete finish to interior. Service is held in the old Church...Masses on Sundays and Holydays at 7 and 10 1/2 A.M., at which instructions are given. The very few Catholics in the counties of Richmond, Burke, and Columbia, are attended from this place. A Sunday School is taught every Sunday, from 9 until 10 1/2 A.M. Between 60 and 100 children attend thereat.",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.471517,-81.966793,,,,,﻿Rev.,﻿G. Duggan,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿new and splendid Church, not yet opened because of debt and want of means to give a complete finish to interior. Service is held in the old Church...Masses on Sundays and Holydays at 7 and 10 1/2 A.M., at which instructions are given. The very few Catholics in the counties of Richmond, Burke, and Columbia, are attended from this place. A Sunday School is taught every Sunday, from 9 until 10 1/2 A.M. Between 60 and 100 children attend thereat.",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.471517,-81.966793,,,,,﻿Rev.,﻿J. Kirby,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0005,﻿church,﻿Church of the Immaculate Conception,English,"﻿Masses at 7 and 10 1/2 AM, on Sundays and Holy-days. Catechism from 9 1/2 to 10 1/2 AM on the same. Sermon after High Mass on said days. Vespers at 7 PM, after which the Benediction of the Most Holy Sacrament is given. Those [few Catholics] in Covington, Griffin, La Grange, Newman, and Marietta are under the charge of the Pastor of Atlanta.",,,,,﻿Atlanta,﻿Atlanta,﻿GA,,33.748752,-84.387684,,,,,﻿Rev.,﻿James Hasson,,﻿Pastor,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0021,﻿church,[Unnamed Institution],English,"﻿A new Church is about to be built here. The few Catholics in Murray, Gordon, Hall, Cherokee, Cass, and [?] Counties, are at present under the charge of the Pastor of Da[lton.]",,,,﻿Whitfield County,﻿Dalton,﻿Dalton,﻿GA,,33.970869,-84.576278,﻿sav.ga.0005,﻿Attended from Atlanta,,,,,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0023,﻿mission,[Unnamed Institution],English,,,,,﻿Clayton County,﻿Jonesboro,﻿Jonesboro,﻿GA,,33.521501,-84.353813,﻿sav.ga.0005,﻿Attended from Atlanta,﻿four times a year,,,,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0056,﻿mission,[Unnamed Institution],English,,,,﻿Cass County,,﻿Allatoona Iron Works,﻿Allatoona,﻿GA,,,,﻿sav.ga.0021,﻿visited from Dalton,﻿four times a year,,,,,,,,,,,1860,﻿,﻿,﻿Savannah,Savannah
