instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,﻿#REF!,﻿#REF!,,,,﻿jos_rosati_901,﻿Right. Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿jos_a_lutz_901,﻿Rev.,﻿Joseph A. Lutz,﻿Secretary,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿jam_fontbonne_901,﻿Rev.,﻿James Fontbonne,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿jos_renaud_901,﻿Rev.,﻿Joseph Renaud,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿joh_p_fischer_901,﻿Rev.,﻿John P. Fisher,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,"﻿English, French, and German",﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿b_roux_901,﻿Rev.,﻿B. Roux,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148_02,﻿chapel,﻿Chapel of St. Aloysius,"﻿English, German",﻿Sermon every Sunday in English and German,,,,,﻿St. Louis,,﻿MO,,﻿#REF!,﻿#REF!,,,﻿attended by the Rev. Fathers of the Society of Jesus,,,,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9032_02,﻿chapel,﻿Chapel of St. Vincent of Paul,English,,﻿[at the] Hospital,,,,﻿St. Louis,,﻿MO,,﻿#REF!,﻿#REF!,,﻿attended by the clergymen of the Cathedral,,,,,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9008_03,﻿chapel,﻿Sacred Heart,﻿English,﻿Sermon every Sunday in English,,,,,﻿St. Louis,,﻿MO,,﻿#REF!,﻿#REF!,,﻿[attended] by the Rev. gentlemen of the Cathedral,,,,,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9071,﻿station,[Unnamed Institution],English,"﻿the cornerstone was laid May 5th, 1839",﻿Soulard's addition; Trinity church and seminary,,,,﻿St. Louis,,﻿MO,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148_03,﻿chapel,﻿St. Francis Xavier,﻿at the University Farm,﻿Sermon in English,,,,,﻿St. Louis,,﻿MO,,﻿#REF!,﻿#REF!,,,,﻿joh_schoenmakers_001,﻿Rev.,﻿John Schoenmakers,,,,,,,,1842,,,,,﻿,﻿,﻿St. Louis,StLouis
